地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,空き缶・空きびん・ペットボトル
祝津町,室蘭市,月 木,水1,水3,火1 火3
港南町,室蘭市,月 木,水1,水3,火1 火3
増市町,室蘭市,月 木,水1,水3,火1 火3
小橋内町,室蘭市,月 木,水1,水3,火1 火3
築地町,室蘭市,月 木,水1,水3,火1 火3
緑町,室蘭市,火 金,水1,水3,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
西小路町,室蘭市,火 金,水1,水3,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
沢町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
幕西町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
海岸町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
海岸町3丁目9番と8・10番の一部,室蘭市,火 金,水1,水3,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
中央町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
常盤町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
清水町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
幸町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
本町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
栄町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
舟見町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
山手町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
入江町,室蘭市,火 金,水3,水1,金2:4 5 6 7 8 9 10 11 12 2 3 金4:4 5 6 7 8 9 10 11 12 2 3 金3:1 金5:1
茶津町,室蘭市,火 金,水1,水3,水2 水4
新富町,室蘭市,火 金,水1,水3,水2 水4
母恋北町,室蘭市,火 金,水1,水3,水2 水4
母恋南町,室蘭市,火 金,水1,水3,水2 水4
御前水町,室蘭市,火 金,水1,水3,水2 水4
御崎町,室蘭市,火 金,水1,水3,水2 水4
大沢町,室蘭市,火 金,水1,水3,金1:4 5 6 7 8 9 10 11 12 2 3 金3:4 5 6 7 8 9 10 11 12 2 3 金2:1 金4:1
輪西町,室蘭市,月 木,火1,火3,金1:4 5 6 7 8 9 10 11 12 2 3 金3:4 5 6 7 8 9 10 11 12 2 3 金2:1 金4:1
みゆき町,室蘭市,月 木,火1,火3,金1:4 5 6 7 8 9 10 11 12 2 3 金3:4 5 6 7 8 9 10 11 12 2 3 金2:1 金4:1
みゆき町3丁目の一部（旭町自治会）,室蘭市,月 木,水1,水3,水1 水3
東町,室蘭市,月 木,水1,水3,水1 水3
寿町,室蘭市,月 木,火1,火3,水1 水3
日の出町,室蘭市,月 木,水2,水4,水1 水3
中島町,室蘭市,月 木,水1,水3,火2 火4
中島本町,室蘭市,月 木,水2,水4,火2 火4
知利別町,室蘭市,月 木,水1,水3,火2 火4
知利別町4丁目29～33番・41～44番,室蘭市,月 木,金4,金2,火2 火4
宮の森町,室蘭市,月 木,金1:4 5 6 7 8 9 10 11 12 2 3 金2:1,金3,火2 火4
宮の森町1丁目1番・5番の一部,室蘭市,月 木,水1,水3,火2 火4
八丁平,室蘭市,月 木,水2,水4,金1:4 5 6 7 8 9 10 11 12 2 3 金3:4 5 6 7 8 9 10 11 12 2 3 金2:1 金4:1
